"match","result","model_p","market_p","model_ll","market_ll","exact_p","exact_rank"
"Barcelona 5-1 Feyenoord","home",0.741566963897787,0.8733,0.298989812786136,0.13547613956245,0.0355816945820956,11
"VfB Stuttgart 3-1 Viking FK","home",0.609922052454255,0.764,0.494424112841583,0.269187489815617,0.0734062200556954,2
"Liverpool 2-1 Atletico Madrid","home",0.583142955176123,0.5504,0.539322916555754,0.597109992363003,0.099138481578017,2
"Paris Saint-Germain 6-1 Slovan Bratislava","home",0.920026380682152,0.9258,0.0833529346956478,0.077097050384967,0.0377839766791408,10
"Sporting CP 3-1 Galatasaray","home",0.584885717135069,0.5462,0.536338806159286,0.604770069942532,0.0673542364137403,5
"Napoli 0-1 Arsenal","away",0.509368517365038,0.5431,0.674583521713318,0.610461813941337,0.11947143371758,2
