"match","home","away","p_home","p_draw","p_away","xg_home","xg_away","likeliest"
"Fenerbahce vs Roma","Fenerbahce","Roma",0.399706167431572,0.250233043119265,0.350060789449164,1.58296481304148,1.46916193040083,"1-1 (11%), 2-1 (9%), 1-2 (8%)"
"PSV Eindhoven vs Shakhtar Donetsk","PSV Eindhoven","Shakhtar Donetsk",0.692959682853725,0.175924698034082,0.131115619112194,2.50232193996365,1.02071059102522,"2-1 (9%), 2-0 (9%), 1-1 (8%)"
"Como vs RB Leipzig","Como","RB Leipzig",0.437162731486247,0.254094613625855,0.308742654887899,1.60706381026371,1.31743630751726,"1-1 (12%), 2-1 (9%), 1-0 (8%)"
"Bayern Munich vs Bodo/Glimt","Bayern Munich","Bodo/Glimt",0.713083240923195,0.157566729461476,0.12935002961533,2.8397121739955,1.1872842148513,"2-1 (9%), 3-1 (8%), 2-0 (7%)"
"Manchester United vs Sabah FK","Manchester United","Sabah FK",0.835786134803963,0.111273992856803,0.0529398723392341,3.07373516290878,0.709175918991168,"3-0 (11%), 2-0 (11%), 4-0 (8%)"
"Slavia Praha vs Lens","Slavia Praha","Lens",0.223443541490253,0.256840460226161,0.519715998283586,0.992329584904774,1.63928144841436,"1-1 (12%), 0-1 (11%), 0-2 (10%)"
